B&B	Brandy or cognac	N	Brandy	Straight up; without ice or on the rocks	 Brandy snifter	1 oz Benedictine, 1 oz brandy	Pour the Benedictine into a brandy snifter. Use the back of a bar spoon to gently float the brandy on top.	B&B stands for Brandy & Benedictine. It is one of the icons of fine drinking and is a true classic cocktail. Often, a B&B is served on the rocks, although some prefer it straight up and other prefer it slightly warmer (prep your snifter with warm water, dumping it before adding the spirits). It is almost always served in a brandy snifter and this also makes an ideal after dinner drink or nightcap.	http://cdn3.foodviva.com/static-content/food-images/cocktail-recipes/b-b-benedictine-brandy-cocktail/b-b-benedictine-brandy-cocktail.jpg	6
Kir Royal	Wines	Y	Champagne	Straight up; without ice	Champagne flute	90ml (3 ounces) (9 parts) champagne, 10ml (0.33 ounce) (1 part) crème de cassis	Add the crème de cassis to the bottom of the glass, then top up champagne.	Kir Royal is the same as Kir except it's made with champagne instead of white wine. The Apéritif is typically served in a Flute glass.	http://www.thewinebar.com/sites/default/files/styles/main_image/public/kir-royale_1.jpg	13
Death in the Afternoon	Absinthe	N	Champagne, Absinthe	Straight up; without ice	Champagne flute	1 ounce absinthe, 5 ounces chilled champagne	Pour absinthe into a champagne flute. Top with champagne.	Death in the Afternoon, also called the Hemingway or the Hemingway Champagne, is a cocktail made up of absinthe and Champagne invented by Ernest Hemingway. The cocktail shares a name with Hemingway's book Death in the Afternoon, and the recipe published in So Red the Nose, or Breath in the Afternoon, 1935 cocktail book with contributions from famous authors. Hemingway's original instructions were: "Pour one jigger absinthe into a Champagne glass. Add iced Champagne until it attains the proper opalescent milkiness. Drink three to five of these slowly."	http://media.cocktailia.com/2009/11/death-in-the-afternoon-480x640.jpg	1
Black Velvet	Beer	N	Beer, Champaign	Straight up; without ice	Champagne flute	beer and sparkling wine or champagne	A Black Velvet is made by filling a vessel, traditionally a tall champagne flute, halfway with sparkling wine and floating the chilled stout beer on top of the wine. The differing densities of the liquids cause them to remain largely in separate layers (as in a pousse-café). The effect is best achieved by pouring over a spoon turned upside down over the top of the glass so that the liquid runs gently down the sides rather than splashing into the lower layer and mixing with it.	The Black Velvet is a beer cocktail made from stout beer (often Guinness) and white, sparkling wine, traditionally champagne. The drink was first created by the bartender of Brooks's Club in London in 1861, to mourn the death of Prince Albert, Queen Victoria's Prince Consort. It is supposed to symbolise the black or purple cloth armbands worn by mourners.	http://img4-3.myrecipes.timeinc.net/i/recipes/sl/07/10/black-velvet-sl-1662857-x.jpg	6
Brandy Alexander	Brandy or cognac	Y	Brandy	Straight up; without ice	Cocktail Glass	30ml (1 part) Cognac, 30ml (1 part) Crème de cacao (brown), 30ml (1 part) Fresh cream	Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.	Brandy Alexander is a sweet, brandy-based cocktail consisting of cognac and crème de cacao that became popular during the early 20th century.[1] It is a variation of an earlier, gin-based cocktail called simply an Alexander.	http://2.bp.blogspot.com/-cOAEAnBaowo/UQrlsMQdRCI/AAAAAAAAFAg/lDe3rEkAc6I/s1600/Brandy%2BAlexander.JPG	10
Paradise   	Brandy or cognac	Y	Brandy, Gin	Straight up; without ice	Cocktail Glass	35ml (7 parts) gin, 20ml (4 parts) apricot brandy, 15ml (3 parts) orange juice	Shake together over ice. Strain into cocktail glass and serve chilled.	The Paradise is an IBA official cocktail, and is classified as a "pre-dinner" drink, an apéritif. The earliest known in-print recipe for the Paradise Cocktail was written by Harry Craddock. This cocktail is prepared using gin, apricot brandy (apricot liqueur), and orange juice in a 2:1:1 ratio, with a splash of lemon juice.	http://upload.wikimedia.org/wikipedia/commons/b/b3/Paradise_cocktail.jpg	2
Sidecar	Brandy or cognac	Y	Brandy	Straight up; without ice	Cocktail Glass	Four parts brandy or cognac, Two parts Cointreau, Two parts lemon juice	Mix the ingredients in a shaker half-full of ice. Strain and serve in a sugar-rimmed glass. Garnish with a strip of lemon rind	The Sidecar is a classic cocktail traditionally made with cognac, orange liqueur (Cointreau, Grand Marnier,Grand Gala or another triple sec), and lemon juice. In its ingredients, the drink is perhaps most closely related to the older Brandy Daisy, which differs both in presentation and in proportions of its components.	http://mostmetro.com/wp-content/uploads/2012/05/sidecar-cocktail.jpg	16
Bronx	Gin	Y	Gin	Straight up; without ice	Cocktail Glass	30ml (6 parts) Gin, 15ml (3 parts) Sweet Red Vermouth, 10ml (2 parts) Dry Vermouth, 15ml (3 parts) Orange juice	Pour into cocktail shaker all ingredients with ice cubes, shake well. Strain in chilled cocktail or martini glass.	The Bronx Cocktail is essentially a Perfect Martini with orange juice added. It was ranked number three in "The World's 10 Most Famous Cocktails in 1934", making it a very popular rival to the Martini (#1) and the Manhattan (#2). Today, it remains a popular choice in some markets, and is designated as an Official Cocktail by the International Bartender Association. Like the Manhattan, the Bronx is one of five cocktails named for one of New York City's five boroughs, but is perhaps most closely related to the Queens (cocktail), which substitutes pineapple for the Bronx's orange.	http://2.bp.blogspot.com/-6G-vhUKofPs/Ti3ibz27AGI/AAAAAAAACFQ/0j_m6svxfuk/s1600/bronx%2Bcocktail.jpg	17
Gibson	Gin	Y	Gin	stirred not shaken	Cocktail Glass	60ml (2 ounces) (6 parts) gin, 10ml (0.33 ounce) (1 part) dry vermouth	*Stir well in a shaker with ice, then strain into a chilled martini glass. Garnish and serve	The Gibson is a mixed drink made with gin and vermouth, and often garnished with a pickled onion. The oldest published recipe for the Gibson is found in the 1908 book, The World's Drinks and How to Mix Them by William Boothby.	http://www.bubblews.com/assets/images/news/1266559591_1389912062.jpg	5
Martini	Gin	Y	Gin	straight (or on the rocks)	Cocktail Glass	55ml (11 parts) gin,15ml (3 parts) dry vermouth	Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive. (On the rocks: Pour all ingredients over ice cubes in old-fashioned glass, garnish as above and serve.)	The Martini is a cocktail made with gin and vermouth, and garnished with an olive or a lemon twist. Over the years, the Martini has become one of the best-known mixed alcoholic beverages. H. L. Mencken called the Martini "the only American invention as perfect as the sonnet" and E. B. White called it "the elixir of quietude".	http://liquor.com/wp-content/uploads/2011/04/Dirty-Martini-newest.jpg	14
Bacardi   	Rum	Y	Rum	straight up	Cocktail Glass	45ml (9 parts) Bacardi white rum, 20ml (4 parts) lemon or lime juice, 5ml (1 part) grenadine syrup	Shake together in a mixer with ice. Strain into glass and serve	The Bacardi cocktail is an IBA Official Cocktail made primarily with Bacardi Superior. It is served as a "pre-dinner" cocktail.	http://farm4.staticflickr.com/3151/3071029795_3b774caca8.jpg	4
Daiquiri	Rum	Y	Rum	Straight up; without ice	Cocktail Glass	45ml (9 parts) White rum, 25ml (5 parts) lime juice, 15ml (3 parts) Simple syrup	Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.	Daiquiri is a family of cocktails whose main ingredients are rum, citrus (typically lime juice), and sugar or other sweetener. The Daiquirí is one of the six basic drinks listed in David A. Embury's classic The Fine Art of Mixing Drinks. In the book, he also suggests some variations.	http://www.examiner.com/images/blog/wysiwyg/image/DaiquiriLime.jpg	40
Apple Martini (Appletini)	Vodka	Y	Vodka	straight up	Cocktail Glass	40ml (3 parts) Vodka, 15ml (1 part) Apple schnapps / Calvados, 15ml (1 part) Cointreau	Mix in a shaker, then pour into a chilled glass. Garnish and serve.	An apple martini (appletini for short) is a cocktail containing vodka and one or more of apple juice, apple cider, apple liqueur, or apple brandy. Optionally, vermouth may be included, as in a regular martini. Typically, the apple vodka is shaken or stirred with a sweet and sour mix and then strained into a cocktail glass.	http://www.bunkycooks.com/wp-content/uploads/2010/11/Green-Appletini-close-up-2.jpg	39
Cosmopolitan	Vodka	Y	Vodka	Straight up; without ice	Cocktail Glass	40 ml Vodka Citron, 15 ml Cointreau, 15 ml Fresh lime juice, 30 ml Crganberry juice	Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.	A cosmopolitan, or informally a cosmo, is a cocktail made with vodka, triple sec, cranberry juice, and freshly squeezed lime juice or sweetened lime juice.	http://www.inspiredtaste.net/wp-content/uploads/2012/11/Cosmopolitan-Cockail-Recipe-1.jpg	32
Kamikaze	Vodka	Y	Vodka, Orange-flavored liqueur	Straight up; without ice	Cocktail Glass	30ml (1 part) vodka, 30ml (1 part) triple sec, 30ml (1 part) lime juice	Shake all ingredients together in a mixer with ice. Strain into glass, garnish and serve.	The Kamikaze is made of equal parts vodka, triple sec and lime juice. According to the International Bartenders Association, it is served straight up in a cocktail glass. Garnish is typically a wedge or twist of lime.	http://www.killingtime.com/Pegu/wp-content/uploads/2008/10/kamikaze.png	16
Vodka Martini (Kangaroo)	Vodka	Y	Vodka	straight (or on the rocks)	Cocktail Glass	1 1/2 oz vodka 3/4 oz dry vermouth	Shake vodka and vermouth together with several ice cubes in a shaker. Strain into a cocktail glass, garnish with an olive and serve.	A vodka martini, also known as a vodkatini or kangaroo cocktail, is a cocktail made with vodka and vermouth, a variation of a martini.	http://1.bp.blogspot.com/-_dHlxMIdKWw/T-zQ9bu2FuI/AAAAAAAAAIM/ePTG8fvo93k/s1600/martini.JPG	12
Manhattan	Whiskey	Y	Whiskey	Straight up; without ice	Cocktail Glass	50 mL rye or Canadian whisky, 20 mL Sweet red vermouth, Dash Angostura bitters, Maraschino cherry (Garnish)	Stirred over ice, strained into a chilled glass, garnished, and served straight up.	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred or shaken with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem.	http://www.inspiredtaste.net/wp-content/uploads/2012/02/Manhattan-Cocktail-Recipe-2.jpg	41
Rob Roy	Whiskey	Y	Whiskey	Choice of "straight up" or "On the rocks"	Cocktail Glass	45ml Scotch whisky, 25ml Sweet vermouth, Dash Angostura bitters	Stirred over ice, strained into a chilled glass, garnished, and served straight up, or mixed in rocks glass, filled with ice.	The Rob Roy is a cocktail created in 1894 by a bartender at the Waldorf Astoria New York. The drink was named in honor of the premiere of Rob Roy, an operetta by composer Reginald De Koven and lyricist Harry B. Smith loosely based upon Scottish folk hero Robert Roy MacGregor. The Rob Roy is similar to a Manhattan but is made exclusively with Scotch whisky, while the Manhattan is traditionally made with rye and today commonly made with bourbon or Canadian whisky.	http://www.mutineermagazine.com/img/blog/rob_roy.jpg	13
Grasshopper	Other liqueurs	Y	Crème de cacao, Crème de menthe	Straight up; without ice	Cocktail Glass	30 ml (1 part) Crème de menthe (green), 30 ml (1 part) Crème de cacao (white), 30 ml (1 part) Fresh cream	Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.	A grasshopper is a sweet, mint-flavored, after-dinner drink. The name of the drink is derived from its green color, which is provided by the crème de menthe. The drink reputedly originated at Tujague's, a landmark bar in the French Quarter of New Orleans, Louisiana, and gained popularity during the 1950s and 1960s throughout the American South.	http://outlookcolumbus.com/wp-content/uploads/2012/09/2012-08-13_CC.jpg	14
Corpse Reviver	Absinthe	N	Cognac	Straight up; without ice	Cocktail Glass	2 parts cognac, 1 part apple brandy or Calvados, 1 part sweet vermouth	Stir with ice, strain into a chilled cocktail glass.	The plain Corpse Reviver cocktail is a cognac-based cocktail, with two parts cognac, one part Calvados or equivalent apple brandy, and one part sweet vermouth.	http://www.travelandleisure.com/images/amexpub/0022/7698/201105-w-hangover-corpse-reviver.jpg	3
Corpse Reviver #2	Absinthe	N	Gin	Straight up; without ice	Cocktail Glass	3/4 ounce gin, 3/4 ounce lemon juice, 3/4 ounce Cointreau (triple sec), 3/4 ounce Lillet, 1 dash absinthe	Shake ingredients together in a mixer with ice. Strain into chilled glass.	The Corpse Reviver #2 is the more popular of the corpse revivers, and consists of equal parts gin, lemon juice, triple sec (commonly Cointreau), Kina Lillet, and a dash of absinthe. The dash of absinthe can either be added to the mix before shaking, or added to the cocktail glass and moved around until the glass has been coated with a layer of absinthe. It can also be used to coat the edge of the glass to give a subtle absinthe aroma and flavor to the drink.	http://3.bp.blogspot.com/-CDueRNnmA6U/Ub-4JuboSuI/AAAAAAAAI64/zxVsaZn1JvM/s1600/corpse%2Breviver%2B2.jpg	15
Earthquake	Absinthe	N	Cognac, Absinthe	Straight up; without ice	Cocktail Glass	3 parts Absinthe, 3 parts Cognac	Shake with ice and strain into a collins glass.	The Tremblement de Terre (or "Earthquake") Cocktail has been attributed to the French Post-Impressionist painter Henri de Toulouse-Lautrec. The name is derived from its effects, which tend to "shake up" the drinker.	http://4.bp.blogspot.com/_ASitGYUhXGU/TMf8DpCRCNI/AAAAAAAAApE/1FSkz9jMgso/s1600/Earthquake.jpg	2
Green Vesper	Absinthe	N	Gin	Straight up; without ice	Cocktail Glass	3 ounce gin, 1 ounce vodka, 1/2 ounce absinthe	Add absinthe, vodka and gin into a boston shaker, add ice and stir. Double strain into a chilled cocktail glass and serve with a twist of lime	Variation of the Vesper Martini	http://www.organicauthority.com/wp-content/uploads/2009/05/kiwivesper1.jpg	6
The Monkey Gland	Absinthe	N	Gin, Absinthe	Straight up; without ice	Cocktail Glass	1 part gin, 1 part orange juice, dash absinthe, dash grenadine	Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.	The Monkey Gland is a cocktail of gin, orange juice, grenadine and absinthe named after a surgical technique of grafting monkey testicle tissue into humans. The practice was started by Dr Serge Voronoff, and was intended to produce longevity.	http://www.scienceofdrink.com/wp-content/uploads/2009/02/monkey-gland-x-2.jpg	15
The Blenheim	Brandy or cognac	N	Brandy	Straight up; without ice	Cocktail Glass	1 oz vodka, 1/2 oz coffee liqueur, 1/2 oz fresh orange juice	Pour the vodka, Tia Maria coffee liqueur and orange juice into a cocktail shaker. Shake well, strain into a cocktail glass, and serve.	The Blenheim was created by Joe Gilmore for Sir Winston Churchills 90th birthday. The drink is also called the Four Score and Ten.	http://www.cocktailhunter.com/wp-content/uploads/2012/09/The-Blenheim.jpg	2
Jack Rose	Brandy or cognac	N	Brandy	Straight up; without ice	Cocktail Glass	2 parts applejack, 1 part lemon or lime juice, 1/2 part grenadine	Traditionally shaken into a chilled glass, garnished, and served straight up.	Jack Rose is the name of a classic cocktail, popular in the 1920s and 1930s, containing applejack, grenadine, and lemon or lime juice. It notably appeared in a scene in Ernest Hemingway's 1926 classic, The Sun Also Rises, in which Jake Barnes, the narrator, drinks a Jack Rose in the Crillon Paris hotel bar while awaiting the arrival of Lady Brett Ashley. The Jack Rose is one of six basic drinks listed in David A. Embury's classic The Fine Art of Mixing Drinks.	http://ymnation.com/wp-content/uploads/2011/06/JackRoseCocktail1.jpg	15
The Modernista	Absinthe	N	Scotch	Straight up; without ice	Cocktail glass, Champagne flute	2 ounces Scotch, 1/2 ounce Dark Jamaican rum, 1 teaspoon absinthe or pastis, 1/2 ounce Swedish Punsch, 1/2 ounce fresh lemon juice, 2 dashes orange bitters	Shake in an iced cocktail shaker, and strain into cocktail glass. Add a lemon twist.	The Modernista (also known as the Modern Maid Cocktail) is a scotch-pastis/absinthe cocktail. It is a bitter cocktail with proportions of rum-based Swedish Punsch.	http://stardustvideoandcoffee.files.wordpress.com/2012/04/stardustsdrink.jpg	2
Tom Collins	Gin	Y	Gin	On the rocks; poured over ice	Collins Glass	45ml (3 parts) Old Tom Gin, 30ml (2 parts) freshly squeezed lemon juice, 15ml (1 part) sugar syrup, 60ml (4 parts) carbonated water to taste	Mix the gin, lemon juice and sugar syrup in a tall glass with ice, top up with soda water, garnish and serve.	The Tom Collins is a Collins cocktail made from gin, lemon juice, sugar and carbonated water. First memorialized in writing in 1876 by "the father of American mixology" Jerry Thomas, this "gin and sparkling lemonade" drink typically is served in a Collins glass over ice.	http://www.inspiredtaste.net/wp-content/uploads/2011/07/tom-collins1.jpg	23
Mojito	Rum	Y	Rum	On the rocks; poured over ice	Collins Glass	4 cl (4 parts) White rum, 3 cl (3 parts) Fresh lime juice, 6 leaves of Mint, 2 teaspoons Sugar, Soda Water	Mint sprigs muddled with sugar and lime juice. Rum added and topped with soda water. Garnished with sprig of mint leaves. Served with a straw.	Traditionally, a mojito is a cocktail that consists of five ingredients: white rum, sugar (traditionally sugar cane juice), lime juice, sparkling water, and mint. The original Cuban recipe uses spearmint or yerba buena, a mint variety very popular on the island. Its combination of sweetness, refreshing citrus, and mint flavors is intended to complement the potent kick of the rum, and have made this clear highball a popular summer drink. The cocktail has a relatively low alcohol content (about 10 percent alcohol by volume).	http://www.cbc.ca/stevenandchris/content/images/42_mojito.jpg	32
Gin Fizz	Gin	Y	Gin	On the rocks; poured over ice	Highball Glass	45ml (3 parts) Gin, 30ml (2 parts) Fresh lemon juice, 10ml (1 part) Gomme syrup, 80ml (5 parts) Soda water	Pour the gin, juice, sugar, and egg white into a cocktail shaker filled with ice. Shake vigorously. More than usual if using the egg white to ensure it is mixed thoroughly with the other ingredients. Strain into a chilled highball glass with ice cubes. Top off with soda water. Garnish with a cherry.	A Gin Fizz is the best-known cocktail in the Fizz family. A Gin Fizz contains gin, lemon juice, sugar, and carbonated water, served in a tumbler with two ice cubes. The drink is similar to a Tom Collins, the difference, contrary to common belief, being that a Tom Collins historically used "Old Tom Gin" (a sweetened version of, and precursor to, London Dry Gin), whereas the kind of gin historically used in a Gin Fizz is unknown.	http://1.bp.blogspot.com/_9BwMs_QlKaU/TCNfknCpoAI/AAAAAAAAAys/RxQi3vRoQag/s1600/cocktail-gin-and-dill.jpg	20
Long Island Iced Tea	Gin	Y	Gin, Tequila, Vodka, Rum, Triple sec	On the rocks; poured over ice	Highball Glass	15 mL Vodka, 15 mL Tequila, 15 mL White rum, 15 mL Triple sec, 15 mL Gin, 25 mL Lemon juice, 30 mL Gomme Syrup, 1 dash of Cola	Mix ingredients in glass over ice, stir, garnish and serve.	The drink has a much higher alcohol concentration (approximately 22 percent) than most highball drinks due to the relatively small amount of mixer. Long islands can be ordered "extra long", which further increases the alcohol to mixer ratio.	http://pad2.whstatic.com/images/thumb/1/1a/Make-a-Long-Island-Iced-Tea-Step-9.jpg/670px-Make-a-Long-Island-Iced-Tea-Step-9.jpg	32
Dark 'N' Stormy	Rum	Y	Rum	On the rocks; poured over ice	Highball Glass	60ml Gosling's Black Seal rum, 100ml Ginger beer	Pour the black rum into a glass over ice. Top off with ginger beer. Garnish with lime wedge.	A Dark and Stormy (or Dark 'n' Stormy) is a highball cocktail made with black rum (the dark) and ginger beer (the stormy) served over ice, optionally accompanied by a slice of lime.	http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Dark_n_Stormy.jpg/400px-Dark_n_Stormy.jpg	4
Mai-Tai	Rum	Y	Rum	On the rocks; poured over ice	Highball Glass	40ml (8 parts) white rum, 20ml (4 parts) dark rum, 15ml (3 parts) orange curaçao, 15ml (3 parts) Orgeat syrup. 10ml (2 parts) fresh lime juice	Shake all ingredients except the dark rum together in a mixer with ice. Strain into glass and float the dark rum onto the top. Garnish and serve with straw.	The Mai Tai is an alcoholic cocktail based on rum, Curaçao liqueur, and lime juice, associated with Polynesian-style settings.	http://img4-3.myrecipes.timeinc.net/i/recipes/su/08/09/mai-tai-su-1835314-l.jpg	19
Planter's Punch	Rum	Y	Rum	On the rocks; poured over ice	Highball Glass	4.5cl Dark rum, 3.5cl Fresh orange juice, 3.5cl Fresh pineapple juice, 2cl Fresh lemon juice, 1cl Grenadine syrup, 1cl Sugar syrup, 3 or 4 dashes Angostura bitters	Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, "on top". Garnish with cocktail cherry and pineapple.	The cocktail has been said to have originated at the Planters Hotel in Charleston, SC, but the recipe originates in Jamaica. The September 1878 issue of the London magazine Fun listed the recipe as follows: "A wine-glass with lemon juice fill, of sugar the same glass fill twice / Then rub them together until / The mixture looks smooth, soft, and nice. / Of rum then three wine glasses add, / And four of cold water please take. A Drink then you'll have that's not bad — / At least, so they say in Jamaica."	http://upload.wikimedia.org/wikipedia/commons/1/10/Planters_Punch_2.jpg	22
Tequila Sunrise	Tequila	Y	Tequila	On the rocks; poured over ice	Highball Glass	45ml (3 parts) Tequila, 90ml (6 parts) Orange juice, 15ml (1 part) Grenadine syrup	Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Do not stir. Garnish and serve.	The Tequila Sunrise is a cocktail made in two different ways, the original (tequila, crème de cassis, lime juice and soda water) and the more popular concoction (tequila, orange juice, and grenadine syrup). Originally served at the Arizona Biltmore Hotel, where it was created by Gene Sulit in the 1930s or 1940s, the cocktail is named for the way it looks after it has been poured into a glass. The denser ingredients (cassis or grenadine) settle, creating gradations in color that mimic a sunrise. The more popular version was invented by Bobby Lazoff and Billy Rice at the Trident restaurant in Sausalito, California in the early 1970s.	http://4.bp.blogspot.com/-zn2CJJW9I2c/Ufwy7DMmpFI/AAAAAAAAIdE/bmWi7uxnkuo/s1600/DSC_0116.JPG	41
